hidden_layer_sizes,max_epoch,learning_rate_init,max_error,trial,mean_cv_accuracy,train_accuracy,test_accuracy
"[30, 20, 1]",100,0.001,0.01,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.01,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.05,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,1,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,2,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,3,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,4,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",100,0.001,0.1,5,0.9349945660611706,0.9364035087719298,0.9469026548672567
"[30, 20, 1]",500,0.001,0.01,1,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,2,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,3,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,4,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.01,5,0.9806396522279149,0.9868421052631579,0.9646017699115044
"[30, 20, 1]",500,0.001,0.05,1,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,2,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,3,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,4,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.05,5,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,1,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,2,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,3,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,4,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",500,0.001,0.1,5,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.01,1,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,2,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,3,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,4,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.01,5,0.9806551777674274,0.9890350877192983,0.9734513274336283
"[30, 20, 1]",1000,0.001,0.05,1,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,2,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,3,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,4,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.05,5,0.9542928116752056,0.9517543859649122,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,1,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,2,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,3,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,4,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 20, 1]",1000,0.001,0.1,5,0.9385033379909953,0.9407894736842105,0.9469026548672567
"[30, 30, 20, 1]",100,0.001,0.01,1,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,2,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,3,0.6273560006210216,0.6359649122807017,0.5929203539823009
"[30, 30, 20, 1]",100,0.001,0.01,4,0.6273560006210216,0.6359649122807017,0.5929203539823009
