hidden_layer_sizes,max_epoch,learning_rate_init,max_error,mean_accuracy,train_accuracy,test_accuracy
"[30, 20, 1]",100,0.001,0.01,0.9385033379909953,0.9252747252747253,0.9736842105263158
"[30, 20, 1]",100,0.001,0.05,0.9385033379909953,0.9252747252747253,0.9736842105263158
"[30, 20, 1]",100,0.001,0.1,0.9385033379909953,0.9252747252747253,0.9736842105263158
"[30, 20, 1]",500,0.001,0.01,0.9385033379909953,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",500,0.001,0.05,0.9385033379909953,0.9626373626373627,0.9824561403508771
"[30, 20, 1]",500,0.001,0.1,0.9385033379909953,0.9340659340659341,0.9736842105263158
"[30, 20, 1]",1000,0.001,0.01,0.9385033379909953,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",1000,0.001,0.05,0.9385033379909953,0.9626373626373627,0.9824561403508771
"[30, 20, 1]",1000,0.001,0.1,0.9385033379909953,0.9340659340659341,0.9736842105263158
"[30, 30, 20, 1]",100,0.001,0.01,0.924437199192672,0.6285714285714286,0.6228070175438597
"[30, 30, 20, 1]",100,0.001,0.05,0.924437199192672,0.6285714285714286,0.6228070175438597
"[30, 30, 20, 1]",100,0.001,0.1,0.924437199192672,0.6285714285714286,0.6228070175438597
"[30, 30, 20, 1]",500,0.001,0.01,0.924437199192672,0.8219780219780219,0.8070175438596491
"[30, 30, 20, 1]",500,0.001,0.05,0.924437199192672,0.8219780219780219,0.8070175438596491
"[30, 30, 20, 1]",500,0.001,0.1,0.924437199192672,0.8219780219780219,0.8070175438596491
"[30, 30, 20, 1]",1000,0.001,0.01,0.924437199192672,0.9648351648351648,0.9824561403508771
"[30, 30, 20, 1]",1000,0.001,0.05,0.924437199192672,0.9604395604395605,0.9824561403508771
"[30, 30, 20, 1]",1000,0.001,0.1,0.924437199192672,0.9186813186813186,0.9649122807017544
"[30, 20, 1]",100,0.01,0.01,0.9402266728768824,0.9824175824175824,0.9912280701754386
"[30, 20, 1]",100,0.01,0.05,0.9402266728768824,0.9648351648351648,0.9824561403508771
"[30, 20, 1]",100,0.01,0.1,0.9402266728768824,0.9362637362637363,0.9736842105263158
"[30, 20, 1]",500,0.01,0.01,0.9402266728768824,0.989010989010989,0.9824561403508771
"[30, 20, 1]",500,0.01,0.05,0.9402266728768824,0.9648351648351648,0.9824561403508771
"[30, 20, 1]",500,0.01,0.1,0.9402266728768824,0.9362637362637363,0.9736842105263158
"[30, 20, 1]",1000,0.01,0.01,0.9402266728768824,0.9912087912087912,0.9824561403508771
"[30, 20, 1]",1000,0.01,0.05,0.9402266728768824,0.9648351648351648,0.9824561403508771
"[30, 20, 1]",1000,0.01,0.1,0.9402266728768824,0.9362637362637363,0.9736842105263158
"[30, 30, 20, 1]",100,0.01,0.01,0.9226517621487347,0.9692307692307692,0.9736842105263158
"[30, 30, 20, 1]",100,0.01,0.05,0.9226517621487347,0.9582417582417583,0.9736842105263158
"[30, 30, 20, 1]",100,0.01,0.1,0.9226517621487347,0.9186813186813186,0.9649122807017544
"[30, 30, 20, 1]",500,0.01,0.01,0.9226517621487347,0.9868131868131869,0.9912280701754386
"[30, 30, 20, 1]",500,0.01,0.05,0.9226517621487347,0.9582417582417583,0.9736842105263158
"[30, 30, 20, 1]",500,0.01,0.1,0.9226517621487347,0.9186813186813186,0.9649122807017544
"[30, 30, 20, 1]",1000,0.01,0.01,0.9226517621487347,0.989010989010989,0.9824561403508771
"[30, 30, 20, 1]",1000,0.01,0.05,0.9226517621487347,0.9582417582417583,0.9736842105263158
"[30, 30, 20, 1]",1000,0.01,0.1,0.9226517621487347,0.9186813186813186,0.9649122807017544
